TMDb ID,IMDb ID,Title,Year,Public Avg Rating
805,tt0063522,Rosemary's Baby,1968,7.8
10220,tt0128442,Rounders,1998,7.005
11545,tt0128445,Rushmore,1998,7.4
6620,tt0047437,Sabrina,1954,7.506
575776,tt7557108,Saint Maud,2019,6.58
930564,tt17351924,Saltburn,2023,6.981
111,tt0086250,Scarface,1983,8.163
133919,tt6725014,Scenes from a Marriage,1974,8.1
424,tt0108052,Schindler's List,1993,8.564
22538,tt0446029,Scott Pilgrim vs. the World,2010,7.487
4232,tt0117571,Scream,1996,7.4
807,tt0114369,Se7en,1995,8.4
346,tt0047478,Seven Samurai,1954,8.455
76025,tt1723811,Shame,2011,6.9
27995,tt0091939,She's Gotta Have It,1986,6.6
11324,tt1130884,Shutter Island,2010,8.201
273481,tt3397884,Sicario,2015,7.411
82693,tt1045658,Silver Linings Playbook,2012,7.144
1233413,tt31193180,Sinners,2025,7.505
107,tt0208092,Snatch,2000,7.812
593,tt0069293,Solaris,1972,7.8
424781,tt5688932,Sorry to Bother You,2018,6.795
508442,tt2948372,Soul,2020,8.1
502033,tt5363618,Sound of Metal,2019,7.7
324857,tt4633694,Spider-Man: Into the Spider-Verse,2018,8.398
129,tt0245429,Spirited Away,2001,8.536
314365,tt1895587,Spotlight,2015,7.814
1398,tt0079944,Stalker,1979,8.1
1262,tt0420223,Stranger Than Fiction,2006,7.279
37686,tt1650062,Super 8,2011,6.769
8363,tt0829482,Superbad,2007,7.256
11906,tt0076786,Suspiria,1977,7.492
4960,tt0383028,"Synecdoche, New York",2008,7.5
103,tt0075314,Taxi Driver,1976,8.133
577922,tt6723592,Tenet,2020,7.181
284,tt0053604,The Apartment,1960,8.2
537996,tt6412452,The Ballad of Buster Scruggs,2018,7.1
414906,tt1877830,The Batman,2022,7.655
17295,tt0058946,The Battle of Algiers,1966,7.9
115,tt0118715,The Big Lebowski,1998,7.837
20345,tt0065143,The Bird with the Crystal Plumage,1970,7.2
2667,tt0185937,The Blair Witch Project,1999,6.354
22881,tt0878804,The Blind Side,2009,7.67
2108,tt0088847,The Breakfast Club,1985,7.7
549509,tt8999762,The Brutalist,2024,7.0
1715,tt0124315,The Cider House Rules,1999,7.076
138843,tt1457767,The Conjuring,2013,7.54
4538,tt0838221,The Darjeeling Limited,2007,7.2
155,tt0468569,The Dark Knight,2008,8.52
11778,tt0077416,The Deer Hunter,1978,8.0
1422,tt0407887,The Departed,2006,8.159
499932,tt7395114,The Devil All the Time,2020,7.2
371638,tt3521126,The Disaster Artist,2017,7.107
764,tt0083907,The Evil Dead,1981,7.3
9552,tt0070047,The Exorcist,1973,7.731
804095,tt14208870,The Fabelmans,2022,7.601
394117,tt5649144,The Florida Project,2017,7.429
1051,tt0067116,The French Connection,1971,7.5
542178,tt8847712,The French Dispatch,2021,7.0
318121,tt2452386,The Fundamentals of Caring,2016,7.294
65754,tt1568346,The Girl with the Dragon Tattoo,2011,7.4
336000,tt2378507,The Glass Castle,2017,7.1
238,tt0068646,The Godfather,1972,8.686
240,tt0071562,The Godfather Part II,1974,8.57
429,tt0060196,"The Good, the Bad and the Ugly",1966,8.5
37247,tt0061722,The Graduate,1967,7.636
120467,tt2278388,The Grand Budapest Hotel,2014,8.038
64682,tt1343092,The Great Gatsby,2013,7.363
559907,tt9243804,The Green Knight,2021,6.6
273248,tt3460252,The Hateful Eight,2015,7.755
840430,tt14849194,The Holdovers,2023,7.678
926899,tt11703050,The House,2022,7.022
152578,tt2640570,The Hunt,2012,5.5
398978,tt1302006,The Irishman,2019,7.6
850165,tt21064584,The Iron Claw,2023,7.547
800158,tt1136617,The Killer,2023,6.573
399057,tt5715874,The Killing of a Sacred Deer,2017,7.018
522039,tt4353250,The Last Black Man in San Francisco,2019,7.0
617653,tt4244994,The Last Duel,2021,7.428
421,tt0362270,The Life Aquatic with Steve Zissou,2004,7.073
503919,tt7984734,The Lighthouse,2019,7.498
254320,tt3464902,The Lobster,2015,7.0
68722,tt1560747,The Master,2012,7.1
603,tt0133093,The Matrix,1999,8.226
593643,tt9764362,The Menu,2022,7.17
11176,tt0079588,The Muppet Movie,1979,7.207
290250,tt3799694,The Nice Guys,2016,7.122
639933,tt11138512,The Northman,2022,7.047
11036,tt0332280,The Notebook,2004,7.89
423,tt0253474,The Pianist,2002,8.379
97367,tt1817273,The Place Beyond the Pines,2012,6.976
1124,tt0482571,The Prestige,2006,8.204
1402,tt0454921,The Pursuit of Happyness,2006,7.891
281957,tt1663202,The Revenant,2015,7.534
